id,state_1,state_2
1,2016-02-01 07:54:10.6766670,2016-02-02 13:36:39.1234790
2,2016-02-01 09:07:09.4793880,2016-02-01 13:40:57.6495000
3,2016-02-01 09:20:15.1926440,2016-02-01 17:54:43.3906270
4,2016-02-01 09:20:23.9344200,2016-02-01 21:10:26.5788000
5,2016-02-01 10:10:18.2503020,2016-02-01 13:46:50.2326730
6,2016-02-01 10:33:11.5513520,2016-02-01 13:49:08.2221420
7,2016-02-01 10:42:12.4591910,2016-02-02 17:03:52.3344040
8,2016-02-01 11:44:11.7932730,2016-02-02 07:50:19.3366120
9,2016-02-01 11:45:12.9971410,2016-02-03 13:40:15.8487190
10,2016-02-01 11:48:13.1007250,2016-02-03 08:02:37.0082310
11,2016-02-01 12:14:11.0757740,2016-02-01 21:21:04.1989540
12,2016-02-01 12:22:12.3024430,2016-02-01 14:27:34.3869780
13,2016-02-01 12:23:14.2413310,2016-02-01 15:23:56.3286010
14,2016-02-01 12:36:12.5055680,2016-02-01 13:51:25.8097130
15,2016-02-01 12:41:11.5232780,2016-02-01 14:29:47.0214860
16,2016-02-01 12:50:15.5969610,2016-02-01 14:37:02.4997990
17,2016-02-01 13:12:13.8419650,2016-02-01 14:30:39.9464220
18,2016-02-01 13:15:12.7376230,2016-02-01 14:31:40.5528460
19,2016-02-01 13:18:12.6682410,2016-02-01 14:32:49.5882660
20,2016-02-01 13:26:11.5033650,2016-02-01 14:34:50.9343910
21,2016-02-01 13:30:18.0854100,2016-02-01 17:57:44.9901830
22,2016-02-01 13:33:19.3881230,2016-02-01 18:13:02.2620470
23,2016-02-01 14:00:18.0441260,2016-02-01 14:41:08.9717660
24,2016-02-01 14:05:12.1482010,2016-02-01 18:18:48.1144980
25,2016-02-01 14:16:20.7704400,
26,2016-02-01 14:17:27.0383640,2016-02-01 18:07:19.2323290
27,2016-02-01 14:29:14.9630760,2016-02-01 18:10:50.8320630
28,2016-02-01 14:37:12.1319870,2016-02-01 18:30:29.6629530
29,2016-02-01 14:43:09.4132420,2016-02-01 18:42:37.5217050
30,2016-02-01 14:46:43.2706920,2016-02-01 21:16:04.0428460
31,2016-02-01 14:51:10.1505320,2016-02-01 18:52:59.9262510
32,2016-02-01 14:52:33.7289920,2016-02-01 18:54:31.3588190
33,2016-02-01 14:53:25.5591550,2016-02-01 18:55:24.1710990
34,2016-02-01 14:54:20.0795010,2016-02-01 21:28:02.7079750
35,2016-02-01 14:55:22.0969520,2016-02-01 18:58:03.2496880
36,2016-02-01 14:57:02.5559000,2016-02-01 18:59:10.7531570
37,2016-02-01 14:58:53.1744990,2016-02-01 19:02:22.6744770
38,2016-02-01 15:00:01.2855060,2016-02-01 19:03:33.4124670
39,2016-02-01 15:01:08.4442620,2016-02-01 19:05:25.0760020
40,2016-02-01 15:01:33.2092110,2016-02-01 19:06:32.6651400
41,2016-02-01 15:03:04.4907310,2016-02-01 19:08:08.0569210
42,2016-02-01 15:04:46.4583010,2016-02-01 19:09:01.2260300
43,2016-02-01 15:05:59.8007630,2016-02-01 19:10:48.5012170
44,2016-02-01 15:06:10.2535800,2016-02-04 16:57:43.8001490
45,2016-02-01 15:10:46.3756510,2016-02-04 11:27:39.2735140
